ReactionTime Block1;Stimuli Onset Time Block1;Stimuli Offset Time Block1;Fixation Cross Onset Time Block1;Fixation Cross Offset Time Block1;Blank Screen Onset Time Block1;Blank Screen Offset Time Block1;Feedback Onset Time Block1;Feedback Offset Time Block1;Stimuli On Screen Time Block1;Presented Condition Block1;Answers Block1;Answer Codes Block1;Distractor Modality Block1;;;;;Congruent_reaktionstid;Congruent_accuracy;Incongruent_reaktionstid;Incongruent_accuracy;Neutral_reaktionstid;neutral_accuracy;;audio_visual_reaktionstid;audio_visual_accuracy;visual_reaktionstid;visual_accuracy;audio_reaktionstid;audio_accuracy
2,539574;108,5338;108,7338;107,534;108,5338;108,7338;113,7329;113,7329;114,2328;0,1999664;Incongruent;Correct;1;audio visual;;;;;0;0;2,539574;Correct;0;0;;2,539574;Correct;0;0;0;0
1,639725;115,2527;115,4526;114,2528;115,2527;115,4526;120,4518;120,4518;120,9517;0,1999664;Congruent;Correct;1;audio;;;;;1,639725;Correct;0;0;0;0;;0;0;0;0;1,639725;Correct
2,119644;121,9715;122,1715;120,9717;121,9715;122,1715;127,1707;127,1707;127,6706;0,1999664;Congruent;Correct;1;audio visual;;;;;2,119644;Correct;0;0;0;0;;2,119644;Correct;0;0;0;0
2,180466;128,6907;128,8907;127,6906;128,6907;128,8907;133,8918;133,8918;134,3919;0,2000427;Congruent;Correct;1;audio visual;;;;;2,180466;Correct;0;0;0;0;;2,180466;Correct;0;0;0;0
3,360718;135,4121;135,6122;134,4119;135,4121;135,6122;140,6132;140,6132;141,1133;0,2000427;Incongruent;Correct;1;audio visual;;;;;0;0;3,360718;Correct;0;0;;3,360718;Correct;0;0;0;0
0;142,1335;142,3336;141,1333;142,1335;142,3336;147,3347;147,3347;147,8348;0,2000427;Incongruent;None;0;visual;;;;;0;0;0;None;0;0;;0;0;0;None;0;0
2,040436;148,855;149,055;147,8548;148,855;149,055;154,0561;154,0561;154,5562;0,2000427;Congruent;Correct;1;audio;;;;;2,040436;Correct;0;0;0;0;;0;0;0;0;2,040436;Correct
0;155,5764;155,7765;154,5762;155,5764;155,7765;160,7775;160,7775;161,2776;0,2000427;Congruent;None;0;audio;;;;;0;None;0;0;0;0;;0;0;0;0;0;None
1,78038;162,2979;162,4979;161,2976;162,2979;162,4979;167,499;167,499;167,9991;0,2000427;Neutral;Correct;1;audio visual;;;;;0;0;0;0;1,78038;Correct;;1,78038;Correct;0;0;0;0
1,700363;169,0193;169,2193;168,0191;169,0193;169,2193;174,2204;174,2204;174,7205;0,2000427;Neutral;Correct;1;audio;;;;;0;0;0;0;1,700363;Correct;;0;0;0;0;1,700363;Correct
1,680359;175,7407;175,9408;174,7405;175,7407;175,9408;180,9418;180,9418;181,4419;0,2000427;Congruent;Correct;1;visual;;;;;1,680359;Correct;0;0;0;0;;0;0;1,680359;Correct;0;0
4,781021;182,4622;182,6622;181,4619;182,4622;182,6622;187,6633;187,6633;188,1634;0,2000427;Neutral;Correct;1;audio visual;;;;;0;0;0;0;4,781021;Correct;;4,781021;Correct;0;0;0;0
1,680359;189,1836;189,3836;188,1834;189,1836;189,3836;194,3847;194,3847;194,8848;0,2000427;Incongruent;Correct;1;audio;;;;;0;0;1,680359;Correct;0;0;;0;0;0;0;1,680359;Correct
2,540543;195,905;196,1051;194,9048;195,905;196,1051;201,1061;201,1061;201,6062;0,2000427;Neutral;Correct;1;visual;;;;;0;0;0;0;2,540543;Correct;;0;0;2,540543;Correct;0;0
0;202,6265;202,8265;201,6263;202,6265;202,8265;207,8276;207,8276;208,3277;0,2000427;Neutral;None;0;visual;;;;;0;0;0;0;0;None;;0;0;0;None;0;0
2,380508;209,3479;209,5479;208,3477;209,3479;209,5479;214,549;214,549;215,0491;0,2000427;Congruent;Correct;1;visual;;;;;2,380508;Correct;0;0;0;0;;0;0;2,380508;Correct;0;0
1,620346;216,0693;216,2694;215,0691;216,0693;216,2694;221,2704;221,2704;221,7706;0,2000427;Neutral;Correct;1;audio;;;;;0;0;0;0;1,620346;Correct;;0;0;0;0;1,620346;Correct
2,160461;222,7908;222,9908;221,7906;222,7908;222,9908;227,9919;227,9919;228,492;0,2000427;Incongruent;Correct;1;audio;;;;;0;0;2,160461;Correct;0;0;;0;0;0;0;2,160461;Correct
1,580338;229,5122;229,7122;228,512;229,5122;229,7122;234,7133;234,7133;235,2134;0,2000427;Incongruent;Correct;1;audio;;;;;0;0;1,580338;Correct;0;0;;0;0;0;0;1,580338;Correct
2,920624;236,2336;236,4337;235,2334;236,2336;236,4337;241,4348;241,4348;241,9349;0,2000427;Incongruent;Incorrect;2;visual;;;;;0;0;2,920624;Incorrect;0;0;;0;0;2,920624;Incorrect;0;0
ReactionTime Block3;Stimuli Onset Time Block3;Stimuli Offset Time Block3;Fixation Cross Onset Time Block3;Fixation Cross Offset Time Block3;Blank Screen Onset Time Block3;Blank Screen Offset Time Block3;Feedback Onset Time Block3;Feedback Offset Time Block3;Stimuli On Screen Time Block3;Presented Condition Block3;Answers Block3;Answer Codes Block3;Distractor Modality Block3;;;;;0;0;0;0;0;0;;0;0;0;0;0;0
2,299998;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Incongruent;Correct;1;audio;;;;;0;0;2,299998;Correct;0;0;;0;0;0;0;2,299998;Correct
2,520051;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Congruent;Correct;1;audio visual;;;;;2,520051;Correct;0;0;0;0;;2,520051;Correct;0;0;0;0
2,060046;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Incongruent;Incorrect;2;visual;;;;;0;0;2,060046;Incorrect;0;0;;0;0;2,060046;Incorrect;0;0
3,300076;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Incongruent;Incorrect;2;audio visual;;;;;0;0;3,300076;Incorrect;0;0;;3,300076;Incorrect;0;0;0;0
2,100048;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Congruent;Correct;1;audio visual;;;;;2,100048;Correct;0;0;0;0;;2,100048;Correct;0;0;0;0
3,380077;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Neutral;Correct;1;audio;;;;;0;0;0;0;3,380077;Correct;;0;0;0;0;3,380077;Correct
2,080048;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Neutral;Correct;1;visual;;;;;0;0;0;0;2,080048;Correct;;0;0;2,080048;Correct;0;0
2,20005;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Congruent;Correct;1;audio visual;;;;;2,20005;Correct;0;0;0;0;;2,20005;Correct;0;0;0;0
3,140072;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Congruent;Incorrect;2;audio;;;;;3,140072;Incorrect;0;0;0;0;;0;0;0;0;3,140072;Incorrect
1,380032;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Neutral;Correct;1;audio;;;;;0;0;0;0;1,380032;Correct;;0;0;0;0;1,380032;Correct
2,019661;68,22057;68,42053;67,22073;68,22057;68,42053;73,41969;73,41969;73,91961;0,1999664;Incongruent;Correct;1;visual;;;;;0;0;2,019661;Correct;0;0;;0;0;2,019661;Correct;0;0
