ReactionTime Block1;Stimuli Onset Time Block1;Stimuli Offset Time Block1;Fixation Cross Onset Time Block1;Fixation Cross Offset Time Block1;Blank Screen Onset Time Block1;Blank Screen Offset Time Block1;Feedback Onset Time Block1;Feedback Offset Time Block1;Stimuli On Screen Time Block1;Presented Condition Block1;Answers Block1;Answer Codes Block1;Distractor Modality Block1;;;;;Congruent_reaktionstid;Congruent_accuracy;Incongruent_reaktionstid;Incongruent_accuracy;Neutral_reaktionstid;neutral_accuracy;;audio_visual_reaktionstid;audio_visual_accuracy;visual_reaktionstid;visual_accuracy;audio_reaktionstid;audio_accuracy
ReactionTime Block4;Stimuli Onset Time Block4;Stimuli Offset Time Block4;Fixation Cross Onset Time Block4;Fixation Cross Offset Time Block4;Blank Screen Onset Time Block4;Blank Screen Offset Time Block4;Feedback Onset Time Block4;Feedback Offset Time Block4;Stimuli On Screen Time Block4;Presented Condition Block4;Answers Block4;Answer Codes Block4;Distractor Modality Block4;;;;;0;0;0;0;0;0;;0;0;0;0;0;0
1,579999;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Incongruent;Correct;1;audio visual;;;;;0;0;1,579999;Correct;0;0;;1,579999;Correct;0;0;0;0
1,660032;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Congruent;Correct;1;visual;;;;;1,660032;Correct;0;0;0;0;;0;0;1,660032;Correct;0;0
2,020045;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Neutral;Correct;1;visual;;;;;0;0;0;0;2,020045;Correct;;0;0;2,020045;Correct;0;0
3,100071;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Incongruent;Correct;1;visual;;;;;0;0;3,100071;Correct;0;0;;0;0;3,100071;Correct;0;0
2,340054;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Congruent;Correct;1;audio;;;;;2,340054;Correct;0;0;0;0;;0;0;0;0;2,340054;Correct
2,140049;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Congruent;Correct;1;audio;;;;;2,140049;Correct;0;0;0;0;;0;0;0;0;2,140049;Correct
3,280075;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Incongruent;Correct;1;audio visual;;;;;0;0;3,280075;Correct;0;0;;3,280075;Correct;0;0;0;0
2,160049;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Neutral;Correct;1;visual;;;;;0;0;0;0;2,160049;Correct;;0;0;2,160049;Correct;0;0
1,680038;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Congruent;Correct;1;audio;;;;;1,680038;Correct;0;0;0;0;;0;0;0;0;1,680038;Correct
0;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Neutral;None;0;visual;;;;;0;0;0;0;0;None;;0;0;0;None;0;0
2,059654;68,22057;68,42053;67,22073;68,22057;68,42053;73,41969;73,41969;73,91961;0,1999664;Congruent;Correct;1;audio visual;;;;;2,059654;Correct;0;0;0;0;;2,059654;Correct;0;0;0;0
2,579567;74,93944;75,1394;73,93961;74,93944;75,1394;80,13857;80,13857;80,63848;0,1999664;Congruent;Correct;1;visual;;;;;2,579567;Correct;0;0;0;0;;0;0;2,579567;Correct;0;0
2,719543;81,65831;81,85828;80,65848;81,65831;81,85828;86,85744;86,85744;87,35735;0,1999664;Incongruent;Correct;1;audio;;;;;0;0;2,719543;Correct;0;0;;0;0;0;0;2,719543;Correct
1,639725;88,37718;88,57715;87,37735;88,37718;88,57715;93,57631;93,57631;94,07623;0,1999664;Neutral;Correct;1;visual;;;;;0;0;0;0;1,639725;Correct;;0;0;1,639725;Correct;0;0
2,079651;95,09605;95,29602;94,09622;95,09605;95,29602;100,2952;100,2952;100,7951;0,1999664;Incongruent;Correct;1;audio;;;;;0;0;2,079651;Correct;0;0;;0;0;0;0;2,079651;Correct
1,819695;101,8149;102,0149;100,8151;101,8149;102,0149;107,0141;107,0141;107,514;0,1999664;Congruent;Correct;1;visual;;;;;1,819695;Correct;0;0;0;0;;0;0;1,819695;Correct;0;0
1,339775;108,5338;108,7338;107,534;108,5338;108,7338;113,7329;113,7329;114,2328;0,1999664;Incongruent;Correct;1;audio;;;;;0;0;1,339775;Correct;0;0;;0;0;0;0;1,339775;Correct
1,799698;115,2527;115,4526;114,2528;115,2527;115,4526;120,4518;120,4518;120,9517;0,1999664;Congruent;Correct;1;audio;;;;;1,799698;Correct;0;0;0;0;;0;0;0;0;1,799698;Correct
3,659386;121,9715;122,1715;120,9717;121,9715;122,1715;127,1707;127,1707;127,6706;0,1999664;Incongruent;Correct;1;visual;;;;;0;0;3,659386;Correct;0;0;;0;0;3,659386;Correct;0;0
3,420731;128,6907;128,8907;127,6906;128,6907;128,8907;133,8918;133,8918;134,3919;0,2000427;Neutral;Correct;1;audio;;;;;0;0;0;0;3,420731;Correct;;0;0;0;0;3,420731;Correct
3,920837;135,4121;135,6122;134,4119;135,4121;135,6122;140,6132;140,6132;141,1133;0,2000427;Incongruent;Incorrect;2;audio visual;;;;;0;0;3,920837;Incorrect;0;0;;3,920837;Incorrect;0;0;0;0
2,90062;142,1335;142,3336;141,1333;142,1335;142,3336;147,3347;147,3347;147,8348;0,2000427;Neutral;Correct;1;audio visual;;;;;0;0;0;0;2,90062;Correct;;2,90062;Correct;0;0;0;0
2,220474;148,855;149,055;147,8548;148,855;149,055;154,0561;154,0561;154,5562;0,2000427;Congruent;Incorrect;2;visual;;;;;2,220474;Incorrect;0;0;0;0;;0;0;2,220474;Incorrect;0;0
3,580765;155,5764;155,7765;154,5762;155,5764;155,7765;160,7775;160,7775;161,2776;0,2000427;Incongruent;Incorrect;2;audio visual;;;;;0;0;3,580765;Incorrect;0;0;;3,580765;Incorrect;0;0;0;0
4,380936;162,2979;162,4979;161,2976;162,2979;162,4979;167,499;167,499;167,9991;0,2000427;Neutral;Correct;1;audio visual;;;;;0;0;0;0;4,380936;Correct;;4,380936;Correct;0;0;0;0
1,580338;169,0193;169,2193;168,0191;169,0193;169,2193;174,2204;174,2204;174,7205;0,2000427;Incongruent;Correct;1;audio;;;;;0;0;1,580338;Correct;0;0;;0;0;0;0;1,580338;Correct
0;175,7407;175,9408;174,7405;175,7407;175,9408;180,9418;180,9418;181,4419;0,2000427;Neutral;None;0;audio;;;;;0;0;0;0;0;None;;0;0;0;0;0;None
2,980637;182,4622;182,6622;181,4619;182,4622;182,6622;187,6633;187,6633;188,1634;0,2000427;Neutral;Correct;1;audio;;;;;0;0;0;0;2,980637;Correct;;0;0;0;0;2,980637;Correct
2,140457;189,1836;189,3836;188,1834;189,1836;189,3836;194,3847;194,3847;194,8848;0,2000427;Congruent;Correct;1;audio visual;;;;;2,140457;Correct;0;0;0;0;;2,140457;Correct;0;0;0;0
1,660355;195,905;196,1051;194,9048;195,905;196,1051;201,1061;201,1061;201,6062;0,2000427;Congruent;Correct;1;audio visual;;;;;1,660355;Correct;0;0;0;0;;1,660355;Correct;0;0;0;0
2,180466;202,6265;202,8265;201,6263;202,6265;202,8265;207,8276;207,8276;208,3277;0,2000427;Neutral;Correct;1;audio visual;;;;;0;0;0;0;2,180466;Correct;;2,180466;Correct;0;0;0;0
2,120453;209,3479;209,5479;208,3477;209,3479;209,5479;214,549;214,549;215,0491;0,2000427;Congruent;Correct;1;audio visual;;;;;2,120453;Correct;0;0;0;0;;2,120453;Correct;0;0;0;0
1,720367;216,0693;216,2694;215,0691;216,0693;216,2694;221,2704;221,2704;221,7706;0,2000427;Incongruent;Correct;1;visual;;;;;0;0;1,720367;Correct;0;0;;0;0;1,720367;Correct;0;0
1,840393;222,7908;222,9908;221,7906;222,7908;222,9908;227,9919;227,9919;228,492;0,2000427;Neutral;Correct;1;audio;;;;;0;0;0;0;1,840393;Correct;;0;0;0;0;1,840393;Correct
2,62056;229,5122;229,7122;228,512;229,5122;229,7122;234,7133;234,7133;235,2134;0,2000427;Neutral;Correct;1;audio visual;;;;;0;0;0;0;2,62056;Correct;;2,62056;Correct;0;0;0;0
3,180679;236,2336;236,4337;235,2334;236,2336;236,4337;241,4348;241,4348;241,9349;0,2000427;Incongruent;Correct;1;visual;;;;;0;0;3,180679;Correct;0;0;;0;0;3,180679;Correct;0;0
